rmse_mean	rmse_std	rmse_min	rmse_percentile02	rmse_percentile25	rmse_median	rmse_percentile75	rmse_percentile98	rmse_max
262.53594970703125	387.0205078125	4.446450233459473	63.211068344116214	146.89478302001953	211.24088287353516	310.32875061035156	719.6399902343752	15475.685546875
262.14227294921875	387.77117919921875	7.680837631225586	62.83478126525879	146.16403579711914	210.97393035888672	310.33154296875	708.5146545410164	15363.8203125
261.0884094238281	384.14324951171875	3.7160818576812744	62.993428802490236	146.8580665588379	210.72101593017578	309.19791412353516	713.06279296875	14672.650390625
263.7083435058594	388.6450500488281	1.5468356609344482	63.45525207519531	145.96872329711914	212.0411834716797	312.41353607177734	721.6294372558598	15187.6748046875
263.98944091796875	386.65936279296875	5.882992744445801	63.39408988952637	147.18073654174805	213.30299377441406	312.9632873535156	716.7898010253907	15115.61328125
265.6067810058594	388.26458740234375	6.7069783210754395	63.00180435180664	147.57465362548828	212.74424743652344	314.9159240722656	727.2440917968754	14574.126953125
264.10321044921875	386.89129638671875	1.4243574142456055	63.71206474304199	147.3775749206543	212.658935546875	312.9854431152344	719.7400817871098	14976.4287109375
264.1106872558594	388.1827392578125	4.370364189147949	63.61018028259277	146.54516983032227	211.98129272460938	312.88402557373047	724.8835876464854	15535.7939453125
262.2781982421875	384.64501953125	5.774614334106445	63.08052978515625	147.6976089477539	212.4822006225586	310.20555114746094	707.2463012695314	15123.8701171875
270.8343200683594	390.9819641113281	1.4170039892196655	64.40441665649413	149.96491241455078	217.5350112915039	321.72447967529297	744.281750488283	14371.138671875
266.7759094238281	386.3771667480469	5.3041815757751465	64.20945510864257	148.95741271972656	215.49392700195312	316.7892532348633	727.0287292480471	15234.43359375
268.4394226074219	392.24285888671875	5.7133588790893555	63.01051483154297	148.11849975585938	213.88507080078125	317.78284454345703	747.7159301757818	15795.4931640625
270.1737976074219	386.2988586425781	2.7293734550476074	65.35697326660156	151.0029296875	218.32754516601562	320.4416809082031	733.8172363281251	14410.798828125
266.8203125	390.5609436035156	3.255805492401123	63.587500381469724	147.7087059020996	212.98480987548828	314.1897506713867	744.6012451171877	15306.81640625
268.73931884765625	389.4608154296875	5.511044025421143	64.40919570922851	149.04494094848633	215.96966552734375	318.99327087402344	733.633319091797	14991.5
266.06378173828125	389.88629150390625	5.467087268829346	63.209617996215826	147.2154655456543	212.76958465576172	314.7617645263672	737.8517639160158	15282.5498046875
273.764404296875	389.0445556640625	7.4650044441223145	66.4805908203125	152.5953483581543	221.08907318115234	325.6499938964844	749.6213256835944	14649.2666015625
266.2165832519531	389.06158447265625	8.995936393737793	63.789258575439455	148.0863037109375	213.87662506103516	314.3694610595703	733.0339477539063	15769.654296875
273.88330078125	390.2764892578125	6.146106243133545	66.8892707824707	152.0777130126953	219.77776336669922	325.53160095214844	747.1896728515625	14938.505859375
267.1068115234375	388.17120361328125	6.564911365509033	63.84797897338867	147.84474563598633	214.4851303100586	316.55554962158203	738.9434814453126	14776.830078125
275.622314453125	391.1459045410156	10.444160461425781	66.30342102050781	152.9264373779297	222.07542419433594	329.2507858276367	752.0518493652352	14593.8349609375
267.43896484375	387.34735107421875	0.657600462436676	63.62432670593262	148.5053253173828	215.41244506835938	317.6384963989258	731.6220886230469	15737.0439453125
276.7027893066406	391.2413024902344	3.8122928142547607	66.77681884765624	153.12850189208984	222.56570434570312	330.95557403564453	757.308642578125	15198.4775390625
269.4189453125	389.6910705566406	4.669750213623047	64.8133934020996	149.88715744018555	215.7618408203125	319.2161331176758	745.4582214355472	14607.517578125
283.3779602050781	394.68487548828125	4.346222877502441	66.60049591064453	156.45144653320312	227.19749450683594	338.467041015625	784.5174926757815	15111.9208984375
273.04998779296875	389.90087890625	2.472771644592285	65.61315689086913	152.81793594360352	220.82850646972656	325.91024017333984	741.918170166016	15215.2294921875
279.9964294433594	390.05859375	5.191911697387695	66.67937393188477	155.42494201660156	225.35347747802734	335.2194366455078	764.0943176269532	14397.40234375
272.06854248046875	388.2217102050781	5.620609760284424	65.90149536132813	152.43516159057617	219.5476837158203	323.9046936035156	743.1008728027351	15687.5107421875
282.0519714355469	397.68145751953125	5.808279991149902	66.87562789916993	153.70978927612305	224.6142349243164	334.80564880371094	796.316754150391	15203.3642578125
